Geo,Year,FwySmooth,ArtSmooth,LdvEcoDrive,HvyTrkEcoDrive
Accomack County,2024,0.2,0.1,0.2,0.05
Accomack County,2045,0.4,0.2,0.4,0.2
Albemarle County,2024,0.2,0.1,0.2,0.05
Albemarle County,2045,0.4,0.2,0.4,0.2
Alexandria City,2024,0.2,0.1,0.2,0.05
Alexandria City,2045,0.4,0.2,0.4,0.2
Alleghany County,2024,0.2,0.1,0.2,0.05
Alleghany County,2045,0.4,0.2,0.4,0.2
Amelia County,2024,0.2,0.1,0.2,0.05
Amelia County,2045,0.4,0.2,0.4,0.2
Amherst County,2024,0.2,0.1,0.2,0.05
Amherst County,2045,0.4,0.2,0.4,0.2
Appomattox County,2024,0.2,0.1,0.2,0.05
Appomattox County,2045,0.4,0.2,0.4,0.2
Arlington County,2024,0.2,0.1,0.2,0.05
Arlington County,2045,0.4,0.2,0.4,0.2
Augusta County,2024,0.2,0.1,0.2,0.05
Augusta County,2045,0.4,0.2,0.4,0.2
Bath County,2024,0.2,0.1,0.2,0.05
Bath County,2045,0.4,0.2,0.4,0.2
Bedford County,2024,0.2,0.1,0.2,0.05
Bedford County,2045,0.4,0.2,0.4,0.2
Bland County,2024,0.2,0.1,0.2,0.05
Bland County,2045,0.4,0.2,0.4,0.2
Botetourt County,2024,0.2,0.1,0.2,0.05
Botetourt County,2045,0.4,0.2,0.4,0.2
Bristol City,2024,0.2,0.1,0.2,0.05
Bristol City,2045,0.4,0.2,0.4,0.2
Brunswick County,2024,0.2,0.1,0.2,0.05
Brunswick County,2045,0.4,0.2,0.4,0.2
Buchanan County,2024,0.2,0.1,0.2,0.05
Buchanan County,2045,0.4,0.2,0.4,0.2
Buckingham County,2024,0.2,0.1,0.2,0.05
Buckingham County,2045,0.4,0.2,0.4,0.2
Buena Vista City,2024,0.2,0.1,0.2,0.05
Buena Vista City,2045,0.4,0.2,0.4,0.2
Campbell County,2024,0.2,0.1,0.2,0.05
Campbell County,2045,0.4,0.2,0.4,0.2
Caroline County,2024,0.2,0.1,0.2,0.05
Caroline County,2045,0.4,0.2,0.4,0.2
Carroll County,2024,0.2,0.1,0.2,0.05
Carroll County,2045,0.4,0.2,0.4,0.2
Charles City County,2024,0.2,0.1,0.2,0.05
Charles City County,2045,0.4,0.2,0.4,0.2
Charlotte County,2024,0.2,0.1,0.2,0.05
Charlotte County,2045,0.4,0.2,0.4,0.2
Charlottesville City,2024,0.2,0.1,0.2,0.05
Charlottesville City,2045,0.4,0.2,0.4,0.2
Chesapeake City,2024,0.2,0.1,0.2,0.05
Chesapeake City,2045,0.4,0.2,0.4,0.2
Chesterfield County,2024,0.2,0.1,0.2,0.05
Chesterfield County,2045,0.4,0.2,0.4,0.2
Clarke County,2024,0.2,0.1,0.2,0.05
Clarke County,2045,0.4,0.2,0.4,0.2
Colonial Heights City,2024,0.2,0.1,0.2,0.05
Colonial Heights City,2045,0.4,0.2,0.4,0.2
Covington City,2024,0.2,0.1,0.2,0.05
Covington City,2045,0.4,0.2,0.4,0.2
Craig County,2024,0.2,0.1,0.2,0.05
Craig County,2045,0.4,0.2,0.4,0.2
Culpeper County,2024,0.2,0.1,0.2,0.05
Culpeper County,2045,0.4,0.2,0.4,0.2
Cumberland County,2024,0.2,0.1,0.2,0.05
Cumberland County,2045,0.4,0.2,0.4,0.2
Danville City,2024,0.2,0.1,0.2,0.05
Danville City,2045,0.4,0.2,0.4,0.2
Dickenson County,2024,0.2,0.1,0.2,0.05
Dickenson County,2045,0.4,0.2,0.4,0.2
Dinwiddie County,2024,0.2,0.1,0.2,0.05
Dinwiddie County,2045,0.4,0.2,0.4,0.2
Emporia City,2024,0.2,0.1,0.2,0.05
Emporia City,2045,0.4,0.2,0.4,0.2
Essex County,2024,0.2,0.1,0.2,0.05
Essex County,2045,0.4,0.2,0.4,0.2
Fairfax City,2024,0.2,0.1,0.2,0.05
Fairfax City,2045,0.4,0.2,0.4,0.2
Fairfax County,2024,0.2,0.1,0.2,0.05
Fairfax County,2045,0.4,0.2,0.4,0.2
Falls Church City,2024,0.2,0.1,0.2,0.05
Falls Church City,2045,0.4,0.2,0.4,0.2
Fauquier County,2024,0.2,0.1,0.2,0.05
Fauquier County,2045,0.4,0.2,0.4,0.2
Floyd County,2024,0.2,0.1,0.2,0.05
Floyd County,2045,0.4,0.2,0.4,0.2
Fluvanna County,2024,0.2,0.1,0.2,0.05
Fluvanna County,2045,0.4,0.2,0.4,0.2
Franklin City,2024,0.2,0.1,0.2,0.05
Franklin City,2045,0.4,0.2,0.4,0.2
Franklin County,2024,0.2,0.1,0.2,0.05
Franklin County,2045,0.4,0.2,0.4,0.2
Frederick County,2024,0.2,0.1,0.2,0.05
Frederick County,2045,0.4,0.2,0.4,0.2
Fredericksburg City,2024,0.2,0.1,0.2,0.05
Fredericksburg City,2045,0.4,0.2,0.4,0.2
Galax City,2024,0.2,0.1,0.2,0.05
Galax City,2045,0.4,0.2,0.4,0.2
Giles County,2024,0.2,0.1,0.2,0.05
Giles County,2045,0.4,0.2,0.4,0.2
Gloucester County,2024,0.2,0.1,0.2,0.05
Gloucester County,2045,0.4,0.2,0.4,0.2
Goochland County,2024,0.2,0.1,0.2,0.05
Goochland County,2045,0.4,0.2,0.4,0.2
Grayson County,2024,0.2,0.1,0.2,0.05
Grayson County,2045,0.4,0.2,0.4,0.2
Greene County,2024,0.2,0.1,0.2,0.05
Greene County,2045,0.4,0.2,0.4,0.2
Greensville County,2024,0.2,0.1,0.2,0.05
Greensville County,2045,0.4,0.2,0.4,0.2
Halifax County,2024,0.2,0.1,0.2,0.05
Halifax County,2045,0.4,0.2,0.4,0.2
Hampton City,2024,0.2,0.1,0.2,0.05
Hampton City,2045,0.4,0.2,0.4,0.2
Hanover County,2024,0.2,0.1,0.2,0.05
Hanover County,2045,0.4,0.2,0.4,0.2
Harrisonburg City,2024,0.2,0.1,0.2,0.05
Harrisonburg City,2045,0.4,0.2,0.4,0.2
Henrico County,2024,0.2,0.1,0.2,0.05
Henrico County,2045,0.4,0.2,0.4,0.2
Henry County,2024,0.2,0.1,0.2,0.05
Henry County,2045,0.4,0.2,0.4,0.2
Highland County,2024,0.2,0.1,0.2,0.05
Highland County,2045,0.4,0.2,0.4,0.2
Hopewell City,2024,0.2,0.1,0.2,0.05
Hopewell City,2045,0.4,0.2,0.4,0.2
Isle of Wight County,2024,0.2,0.1,0.2,0.05
Isle of Wight County,2045,0.4,0.2,0.4,0.2
James City County,2024,0.2,0.1,0.2,0.05
James City County,2045,0.4,0.2,0.4,0.2
King and Queen County,2024,0.2,0.1,0.2,0.05
King and Queen County,2045,0.4,0.2,0.4,0.2
King George County,2024,0.2,0.1,0.2,0.05
King George County,2045,0.4,0.2,0.4,0.2
King William County,2024,0.2,0.1,0.2,0.05
King William County,2045,0.4,0.2,0.4,0.2
Lancaster County,2024,0.2,0.1,0.2,0.05
Lancaster County,2045,0.4,0.2,0.4,0.2
Lee County,2024,0.2,0.1,0.2,0.05
Lee County,2045,0.4,0.2,0.4,0.2
Lexington City,2024,0.2,0.1,0.2,0.05
Lexington City,2045,0.4,0.2,0.4,0.2
Loudoun County,2024,0.2,0.1,0.2,0.05
Loudoun County,2045,0.4,0.2,0.4,0.2
Louisa County,2024,0.2,0.1,0.2,0.05
Louisa County,2045,0.4,0.2,0.4,0.2
Lunenburg County,2024,0.2,0.1,0.2,0.05
Lunenburg County,2045,0.4,0.2,0.4,0.2
Lynchburg City,2024,0.2,0.1,0.2,0.05
Lynchburg City,2045,0.4,0.2,0.4,0.2
Madison County,2024,0.2,0.1,0.2,0.05
Madison County,2045,0.4,0.2,0.4,0.2
Manassas City,2024,0.2,0.1,0.2,0.05
Manassas City,2045,0.4,0.2,0.4,0.2
Manassas Park City,2024,0.2,0.1,0.2,0.05
Manassas Park City,2045,0.4,0.2,0.4,0.2
Martinsville City,2024,0.2,0.1,0.2,0.05
Martinsville City,2045,0.4,0.2,0.4,0.2
Mathews County,2024,0.2,0.1,0.2,0.05
Mathews County,2045,0.4,0.2,0.4,0.2
Mecklenburg County,2024,0.2,0.1,0.2,0.05
Mecklenburg County,2045,0.4,0.2,0.4,0.2
Middlesex County,2024,0.2,0.1,0.2,0.05
Middlesex County,2045,0.4,0.2,0.4,0.2
Montgomery County,2024,0.2,0.1,0.2,0.05
Montgomery County,2045,0.4,0.2,0.4,0.2
Nelson County,2024,0.2,0.1,0.2,0.05
Nelson County,2045,0.4,0.2,0.4,0.2
New Kent County,2024,0.2,0.1,0.2,0.05
New Kent County,2045,0.4,0.2,0.4,0.2
Newport News City,2024,0.2,0.1,0.2,0.05
Newport News City,2045,0.4,0.2,0.4,0.2
Norfolk City,2024,0.2,0.1,0.2,0.05
Norfolk City,2045,0.4,0.2,0.4,0.2
Northampton County,2024,0.2,0.1,0.2,0.05
Northampton County,2045,0.4,0.2,0.4,0.2
Northumberland County,2024,0.2,0.1,0.2,0.05
Northumberland County,2045,0.4,0.2,0.4,0.2
Norton City,2024,0.2,0.1,0.2,0.05
Norton City,2045,0.4,0.2,0.4,0.2
Nottoway County,2024,0.2,0.1,0.2,0.05
Nottoway County,2045,0.4,0.2,0.4,0.2
Orange County,2024,0.2,0.1,0.2,0.05
Orange County,2045,0.4,0.2,0.4,0.2
Page County,2024,0.2,0.1,0.2,0.05
Page County,2045,0.4,0.2,0.4,0.2
Patrick County,2024,0.2,0.1,0.2,0.05
Patrick County,2045,0.4,0.2,0.4,0.2
Petersburg City,2024,0.2,0.1,0.2,0.05
Petersburg City,2045,0.4,0.2,0.4,0.2
Pittsylvania County,2024,0.2,0.1,0.2,0.05
Pittsylvania County,2045,0.4,0.2,0.4,0.2
Poquoson City,2024,0.2,0.1,0.2,0.05
Poquoson City,2045,0.4,0.2,0.4,0.2
Portsmouth City,2024,0.2,0.1,0.2,0.05
Portsmouth City,2045,0.4,0.2,0.4,0.2
Powhatan County,2024,0.2,0.1,0.2,0.05
Powhatan County,2045,0.4,0.2,0.4,0.2
Prince Edward County,2024,0.2,0.1,0.2,0.05
Prince Edward County,2045,0.4,0.2,0.4,0.2
Prince George County,2024,0.2,0.1,0.2,0.05
Prince George County,2045,0.4,0.2,0.4,0.2
Prince William County,2024,0.2,0.1,0.2,0.05
Prince William County,2045,0.4,0.2,0.4,0.2
Pulaski County,2024,0.2,0.1,0.2,0.05
Pulaski County,2045,0.4,0.2,0.4,0.2
Radford City,2024,0.2,0.1,0.2,0.05
Radford City,2045,0.4,0.2,0.4,0.2
Rappahannock County,2024,0.2,0.1,0.2,0.05
Rappahannock County,2045,0.4,0.2,0.4,0.2
Richmond City,2024,0.2,0.1,0.2,0.05
Richmond City,2045,0.4,0.2,0.4,0.2
Richmond County,2024,0.2,0.1,0.2,0.05
Richmond County,2045,0.4,0.2,0.4,0.2
Roanoke City,2024,0.2,0.1,0.2,0.05
Roanoke City,2045,0.4,0.2,0.4,0.2
Roanoke County,2024,0.2,0.1,0.2,0.05
Roanoke County,2045,0.4,0.2,0.4,0.2
Rockbridge County,2024,0.2,0.1,0.2,0.05
Rockbridge County,2045,0.4,0.2,0.4,0.2
Rockingham County,2024,0.2,0.1,0.2,0.05
Rockingham County,2045,0.4,0.2,0.4,0.2
Russell County,2024,0.2,0.1,0.2,0.05
Russell County,2045,0.4,0.2,0.4,0.2
Salem City,2024,0.2,0.1,0.2,0.05
Salem City,2045,0.4,0.2,0.4,0.2
Scott County,2024,0.2,0.1,0.2,0.05
Scott County,2045,0.4,0.2,0.4,0.2
Shenandoah County,2024,0.2,0.1,0.2,0.05
Shenandoah County,2045,0.4,0.2,0.4,0.2
Smyth County,2024,0.2,0.1,0.2,0.05
Smyth County,2045,0.4,0.2,0.4,0.2
Southampton County,2024,0.2,0.1,0.2,0.05
Southampton County,2045,0.4,0.2,0.4,0.2
Spotsylvania County,2024,0.2,0.1,0.2,0.05
Spotsylvania County,2045,0.4,0.2,0.4,0.2
Stafford County,2024,0.2,0.1,0.2,0.05
Stafford County,2045,0.4,0.2,0.4,0.2
Staunton City,2024,0.2,0.1,0.2,0.05
Staunton City,2045,0.4,0.2,0.4,0.2
Suffolk City,2024,0.2,0.1,0.2,0.05
Suffolk City,2045,0.4,0.2,0.4,0.2
Surry County,2024,0.2,0.1,0.2,0.05
Surry County,2045,0.4,0.2,0.4,0.2
Sussex County,2024,0.2,0.1,0.2,0.05
Sussex County,2045,0.4,0.2,0.4,0.2
Tazewell County,2024,0.2,0.1,0.2,0.05
Tazewell County,2045,0.4,0.2,0.4,0.2
Virginia Beach City,2024,0.2,0.1,0.2,0.05
Virginia Beach City,2045,0.4,0.2,0.4,0.2
Warren County,2024,0.2,0.1,0.2,0.05
Warren County,2045,0.4,0.2,0.4,0.2
Washington County,2024,0.2,0.1,0.2,0.05
Washington County,2045,0.4,0.2,0.4,0.2
Waynesboro City,2024,0.2,0.1,0.2,0.05
Waynesboro City,2045,0.4,0.2,0.4,0.2
Westmoreland County,2024,0.2,0.1,0.2,0.05
Westmoreland County,2045,0.4,0.2,0.4,0.2
Williamsburg City,2024,0.2,0.1,0.2,0.05
Williamsburg City,2045,0.4,0.2,0.4,0.2
Winchester City,2024,0.2,0.1,0.2,0.05
Winchester City,2045,0.4,0.2,0.4,0.2
Wise County,2024,0.2,0.1,0.2,0.05
Wise County,2045,0.4,0.2,0.4,0.2
Wythe County,2024,0.2,0.1,0.2,0.05
Wythe County,2045,0.4,0.2,0.4,0.2
York County,2024,0.2,0.1,0.2,0.05
York County,2045,0.4,0.2,0.4,0.2
